Fluorescein,Target,Species,Clone,Quantity,Brand,Catalog Number,,,,,
APC,IL-21R,Mouse,4A9,2,BioLegend,131910,,,,,
APC,CD3,Mouse,17A2,8,BioLegend,100236,,,,,
APC,TIGIT (Vstm3),Mouse,1G9,4,BioLegend,142106,,,,,
APC,F4/80,Mouse,BM8,3,BioLegend,123116,,,,,
APC,CD44,Mouse/Human,IM7,5,BioLegend,103012,,,,,
APC,CD117 (c-kit),Mouse,2B8,1,BioLegend,105811,,,,,
APC,CD178 (FasL),Mouse,MFL3,1,BioLegend,106610,,,,,
APC,Ki-67,Mouse,16A8,4,BioLegend,652406,,,,,
APC,CD366 (Tim-3),Mouse,RMT3-23,2,BioLegend,119706,,,,,
APC,CD366 (Tim-3),Mouse,B8.2C12,1,BioLegend,134008,,,,,
APC,CD159a (NKG2AB6),Mouse,16A11,3,BioLegend,142808,,,,,
APC,STAT3,-,4G4B45,1,BioLegend,678014,,,,,
APC,KLRG1 (MAFA),Mouse/Human,2F1/KLRG1,3,BioLegend,138412,,,,,
APC,CD25,Mouse,PC61,3,BioLegend,102012,,,,,
APC,CD83,Mouse,Michel-19,1,BioLegend,121509,,,,,
APC,CD185 (CXCR5),Mouse,L138D7,2,BioLegend,145506,,,,,
APC,GM-CSF,Mouse,MP1-22E9,1,BioLegend,505414,,,,,
APC,Nos2 (iNOS),-,W16030C,1,BioLegend,696808,,,,,
APC,IL-17A,Mouse,TC11-18H10.1,3,BioLegend,506916,,,,,
APC,TNF-α,Mouse,MP6-XT22,3,BioLegend,506308,,,,,
APC,IL-4,Mouse,11B11,2,BioLegend,504106,,,,,
APC,Ly-6C,Mouse,HK1.4,3,BioLegend,128016,,,,,
APC,CD279 (PD-1),Mouse,29F.1A12,4,BioLegend,135210,,,,,
APC,CD45.2,Mouse,104,4,BioLegend,109814,,,,,
APC,Annexin V,-,-,2,BioLegend,640941,,,,,
APC,CD49a,Mouse,HMα1,3,BioLegend,142606,,,,,
APC,CD226 (DNAM-1),Mouse,1000000,2,BioLegend,128810,,,,,
APC,CD107a (LAMP-1),Mouse,1D4B,2,BioLegend,121614,,,,,
APC,IgG2a,Mouse,RMG2a-62,1,BioLegend,407110,,,,,
APC,CD29,Mouse/Rat,HMβ1-1,1,BioLegend,102215,,,,,
APC,CD11a/CD18 (LFA-1),Mouse,H155-78,1,BioLegend,141009,,,,,
APC,CD314 (NKG2D),Mouse,CX5,4,BioLegend,130212,,,,,
APC,Perforin,Mouse,S16009A,2,BioLegend,154304,,,,,
APC,IL-22,Mouse,Poly5164,2,BioLegend,516409,,,,,
APC,CD223 (LAG-3),Mouse,C9B7W,2,BioLegend,125210,,,,,
APC,CD186 (CXCR6),Mouse,SA051D1,1,BioLegend,151106,,,,,
APC,CD309 (VEGFR2),Mouse,Avas12,1,BioLegend,136405,,,,,
APC,IFN-γ R β,Mouse,MOB-47,1,BioLegend,113606,,,,,
APC,CD326 (Ep-CAM),Mouse,G8.8,2,BioLegend,118214,,,,,
APC,CD27,Mouse/Rat/Human,LG.3A10,1,BioLegend,124212,,,,,
APC,"CD274 (B7-H1, PD-L1)",Mouse,10F.9G2,2,BioLegend,124312,,,,,
APC,CD253 (TRAIL),Mouse,N2B2,1,BioLegend,109310,,,,,
APC,NF-κB p65,Human,14G10A21,1,BioLegend,653006,,,,,
APC,DYKDDDDK (FLAG tag),-,L5,1,BioLegend,637307,,,,,
APC,IL-21,Mouse,S20017B,1,BioLegend,122203,,,,,
APC,CXCR2,Mouse,5E8/CXCR2,1,BioLegend,320710,,,,,
APC,CD86,Mouse,GL-1,1,BioLegend,105011,,,,,
APC/Cyanine7,Granzyme B,Mouse/Human,QA16A02,7,BioLegend,372228,,,,,
APC/Cyanine7,CD8a,Mouse,53-6.7,3,BioLegend,100714,,,,,
APC/Cyanine7,CD45.2,Mouse,104,2,BioLegend,109824,,,,,
APC/Cyanine7,CD3,Mouse,17A2,4,BioLegend,100222,,,,,
APC/Cyanine7,CD11b,Mouse/Human,M1/70,1,BioLegend,101226,,,,,
APC/Cyanine7,CD117 (c-kit),Mouse,2B8,1,BD Pharmingen,105826,,,,,
Alexa Fluor® 647,RORγt,Mouse,Q31-378,3,BioLegend,562682,,,,,
Alexa Fluor® 647,FOXP3,Mouse,MF-14,1,BD Pharmingen,126408,,,,,
Alexa Fluor® 647,Caspase3（Cas3）,Mouse,C92-605,1,BioLegend,560626,,,,,
APC/Cyanine7,CD4,Mouse,GK1.5,2,BioLegend,100430,,,,,
Alexa Fluor® 700,Granzyme B,Mouse/Human,QA16A02,1,BioLegend,372222,,,,,
Alexa Fluor® 700,CD4,Mouse,GK1.5,1,BioLegend,100430,,,,,
Alexa Fluor® 700,CD19,Mouse,1D3-CD19,1,BioLegend,152414,,,,,
APC/Fire™ 750,CD8a,Mouse,53-6.7,6,BioLegend,100766,,,,,
APC/Fire™ 750,CD3,Mouse,17A2,5,BioLegend,100248,,,,,
APC/Fire™ 750,Granzyme B,Mouse/Human,QA16A02,1,BioLegend,372210,,,,,
Pacific Blue™,Granzyme B,Mouse/Human,GB11,1,BioLegend,515408,,,,,
